period,tsin_id,sku,product_title,average_selling_price,success_fee,fulfilment_fee,total_claim_value,opening_balance,shipment_received,returns_received_into_goodstock,lost_in_transit_returns_found,other_inflow,total_inflow,shipped_to_customer,removal_orders_collected,removal_orders_disposed,other_outflow,total_outflow,closing_balance,stock_in_transit,removal_orders_awaiting_collection_or_being_processed,return_removal_orders_collected,returns_removal_order_disposed
The recon month in the format YYYYMM.,Takealot's unique product identifier.,Stock Keeping Unit - your internal product identifier.,The product title as shown on the product display page.,An average of your selling price for the last 3 months. This is the selling price used to calculate any losses owed to you.,"The success fee covers the referral fee, transactional costs, customer support, and platform support. It is calculated as percentage of your average selling price and used to calculate any losses owed to you. This amount is deducted from your claim when you are paid for losses owed to you.",The fulfilment fee for the product based on the fulfilment fee rate and product dimensions/weight at the point this report was generated. It is deducted from your payout based on the average selling price of the product when you are paid for losses owed to you.,"The amount you need to include on your invoice to Takealot to claim for lost stock. It is calculated by taking the average_selling price of an item, subtracting both the success_fee and the fulfillment_fee, and then multiplying the result by the other_outflow value. This final figure is what you will charge Takealot.","Total qty in all of Takealot's warehouses at the beginning of the period. This includes the qty buyable on takealot.com, being prepared for customers, in a receiving process into a Takealot warehouse or in a removal order before it is collected/disposed. It excludes any stock that has arrived at a Takealot warehouse, but has yet to be received into our system.",Qty received via shipments or is in the process of being received at a Takealot warehouse.,Qty received via returned stock that has been evaluated and put back into buyable stock.,Qty received back into the Takealot warehouses that were previously thought to be Lost in Transit.,Other increases in the period (e.g. stock found).,Total increase to the qty in Takealot's warehouses during the period. This is the sum of all inflow columns.,Qty shipped to customers in the period.,Qty collected by you in the period for good stock removal orders.,Qty prepared for you for good stock removal orders that has been disposed in the period due to non collection by you as per the seller T's&C's.,Other decreases in the period (e.g. stock lost). Please refer to the Seller Portal Knowledge base for more information on how to claim for stock losses.,Total decrease to the qty in Takealot's warehouses during the period. This is a sum of all outflow columns.,"Total qty in all of Takealot's warehouses at the end of the period. This includes the qty buyable on takealot.com, being prepared for customers, in a receiving process into a Takealot warehouse or in a removal order before it is collected/disposed. It excludes any stock that has arrived at a Takealot warehouse, but has yet to be received into our system.",Total qty in transit between Takealot warehouses.,Qty requested and prepared for removal orders submitted or awaiting collection by you. This does not include bad stock removal orders.,Qty collected by you in the period for bad stock removal orders,Qty prepared for bad stock removal orders that has been disposed in the period due to non collection by you as per the seller T's&C's.
202408,43920567,C89M169,HP Laptop Charger,253.71,29.18,48.3,0,11,10,3,0,1,14,15,0,0,0,15,10,0,0,0,0
202408,43920571,c40-m110-1-,Display Port to HDMI - Black,109.17,8.79,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
202408,44869805,C50M120^*,Mop  Broom & Sports Equipment Organizer Wall Mount,159.21,27.46,48.3,0,5,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0
202408,45061444,c250m360-c88,Mini Air Hockey Table,490,67.62,48.3,0,0,6,0,0,0,6,4,0,0,0,4,2,0,0,0,0
202408,47349224,C170-M290*,Double Cereal Dispenser,398,68.66,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,47531258,C90-m170@,Miracle Defrosting Tray - Defrost in Minutes,250,43.13,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,47676192,~c140--m230-=,Marble Rolling Pin with Wooden Handles,280,48.3,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,47743181,c30m100--1DNS,Digital Stainless Cooking Thermometer,138,23.81,48.3,0,3,7,0,0,0,7,6,0,0,0,6,4,0,0,0,0
202408,47866734,c155m220*,Fine Living - Car Vacuum - Wet and Dry Multi-function,350,40.25,48.3,0,0,7,0,0,0,7,3,0,0,0,3,4,0,0,0,0
202408,49749956,~c65-m145*(,Jamie Oliver - Mini Muffin Tray - 24 Holes,215.71,37.21,48.3,0,4,2,0,0,0,2,6,0,0,0,6,0,0,0,0,6
202408,49772041,c300m420--1-2,Kitchen Set with Lights & Sound,471.07,65.01,54.05,0,2,18,0,0,0,18,14,0,0,0,14,6,0,0,0,0
202408,49966862,C240M350--2,Table Top Pool Table Set (181230),410,61.3,48.3,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
202408,50698189,c880m1100-dra-3,21 Piece Stainless Steel Cookware Pot Set - 7 Layer Capsuled Bottom ,1799,310.33,69,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
202408,50699913,--c100m180-1-6,Rotating Spin Mop & Bucket with 2 Microfiber Heads - Green,240,22.08,138,0,1,3,0,0,0,3,2,0,0,0,2,2,0,0,0,0
202408,50702526,c150m240--1-c98,Handbag & Belt Rack,510,87.98,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,50804926,c70m150>afriproDNS,Joseph Joseph - EasyStore Bathroom Caddy,176.6,30.46,34.5,0,14,14,0,0,0,14,20,0,0,0,20,8,0,3,0,0
202408,50805702,c100M180.,Joseph Joseph - Drawer Store Compact 2-Tier Knife Organiser,434,74.87,48.3,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
202408,51014672,C140M230>>3,Electric Chocolate Melting Pot with Accessories,310,35.65,63.25,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
202408,51549456,*C60-M140*,Copper Chef - Bake & Crisp Pan - Large,300,51.75,48.3,0,4,0,0,0,0,0,0,1,0,0,1,3,0,4,0,1
202408,51554095,c450m600*,Dell Inspiron 3421 3521 3537 2521 3449 3445 Battery,650,74.75,48.3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202408,52030634,C32-95M#,Multi-Coloured Heat Free Roller Set,160,18.4,34.5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,52183202,c87m170**,"19.5V, 3.34A Size Dell Labtop Charger - Big Pin",190,21.85,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
202408,52365777,c48m118-a10-1,Car Vacuum Cleaner - 12v,182.63,21,48.3,0,11,5,0,0,0,5,4,0,0,0,4,12,0,0,0,0
202408,52366589,c110m190-a10-2,Aromatherapy Essential Oil Diffuser & Humidifier,254,29.21,48.3,0,4,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0
202408,52366600,c65--m145-1,Colourful Wheat Straw Cups & 1.6L Kettle - 5 Piece,190,32.78,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,52763793,C85M165-,Luna Magical Night Light,298.33,48.03,48.3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
202408,52943137,c80m2160*1,EHK - Potato & Fruit Press - Silver,210,36.23,48.3,0,2,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
202408,54857910,c300m420----12,"Battery for HP Compaq DV4, G60, CQ60 & CQ61",472.5,54.34,48.3,0,6,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0
202408,55011930,c80m160*1,USB-C to USB-C/HDMI/USB Port - Silver,200,20.7,48.3,0,5,0,0,0,0,0,2,0,0,0,2,3,0,0,0,0
202408,55026040,c35m105,2.0 HDMI Extender Cat-5e/6 Full HD Supports 2K/4K,129,10.38,48.3,0,3,1,0,0,0,1,3,0,0,0,3,1,0,0,0,0
202408,55154715,~c60-m120-~,Digital to Analog Audio Converter Toslink & Coaxial IN RCA Out,170,17.6,48.3,0,8,0,0,0,0,0,0,7,0,0,7,1,0,5,0,0
202408,55291496,c130m220,Tornado Lamp,270.73,46.7,48.3,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0
202408,55484510,~c55-m125&^,Rectangular Baking Pan - 8 Cavity,210,36.23,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
202408,55532033,C65M145*3,10 in 1 Baby Care Kit - Blue,175,24.15,34.5,0,5,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0
202408,55645819,c245m355>>6,&Accessories Pest Repeller Solar Powered PIR Motion Sensor,415.2,57.3,48.3,0,5,12,0,0,0,12,10,0,0,0,10,7,0,1,0,0
202408,55705698,~c56-m126^&,Elements Hand Grip Strengthener - Adjustable Spring Resistance (2 pack),230,34.39,48.3,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
202408,55706018,~V230-M340,Flip Advanced 4 In 1 Convertible Carrier,420,67.62,34.5,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
202408,55929682,C76M145-1--6,15cm Moon Lamp Night Light,195,33.64,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,56001248,-c110--m190-2,Portable Silicone Collapsible Travel Electric Kettle,158,27.26,48.3,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
202408,56002969,C235M345-1-YOLEO,Shopping Cart/Trolley-Style Play Set - Pink,384.23,53.02,48.3,0,3,7,0,0,0,7,6,0,0,0,6,4,0,0,0,0
202408,56457841,c70m150-b19-7,"Simple Blender, Smoothie Maker, USB Rechargeable Portable Blender - Blue",215,24.73,63.25,0,12,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0
202408,56865917,c250--m350-1*-2,Nail Dust Collector,420,67.62,34.5,0,0,2,0,0,0,2,1,0,0,0,1,1,0,0,0,0
202408,57507263,~c40-M110*f37,Portable Mini LED Photo Studio Shooting Box - 30cm,171,23.6,48.3,99.1,7,0,1,0,0,1,2,0,0,1,3,5,0,0,0,0
202408,57520356,~C240-m350-bbags,3 Layers Waterproof Makeup Bag Travel Cosmetic Case - Red,403.33,55.66,34.5,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2
202408,57535945,C32M92#1DNS,Digital LCD Temperature Thermometer Humidity Meter Clock,117.85,13.55,63.25,0,3,8,0,0,2,10,6,0,0,0,6,7,0,0,0,0
202408,57536829,c60-m140-1,COB Solar Power Motion Sensor Wall Light ( Pack 2 ),190,24.04,48.3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
202408,57543483,~c40-m110~ f37,Photo Studio Light Box - Medium (30cm),157.83,18.15,48.3,91.38,11,5,0,0,0,5,8,0,0,1,9,7,0,2,0,0
202408,57584723,c150m240/-2,"4"" Square Led Work Light Bar 27w Driving Pods Flood Beam Work Lamp for 2",310,35.65,48.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
202408,57585962,c140m230-11,Flexible Movable False Nail Trainning Practice Hand,280,45.08,34.5,0,2,6,0,0,0,6,4,0,0,0,4,4,0,0,0,0
202408,57588104,C50M120/C9898,5m Colour Changing RGB LED Strip Light,162,26.08,48.3,0,3,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0
202408,57684503,~c150-M240*&$3,Car Brake Clutch Pedal Anti Theft Adjustable Security Clamp Lock,350,44.28,48.3,0,3,10,0,0,0,10,5,0,0,0,5,8,0,0,0,0
202408,58029942,c250m350-dra-2,8 Piece Stainless Steel Cookware Set,399.86,68.98,48.3,0,18,3,0,0,0,3,1,0,0,0,1,20,0,0,0,0
